"Canceled Order Status", "Peruutetun tilauksen tila"
"Capture action is not available.", "Toiminto ei ole käytettävissä."
"Delayed capture methods", "Vahvistuksen perusteella veloitettavat maksutavat"
"Finland", "Suomi"
"Sweden", "Ruotsi"
"United States", "Yhdysvallat"
"Manually Query Maksuturva API For Orders Created In Past 2 Hours", "Kysy Maksuturvalta maksujen statusta kahden tunnin ajalta."
"Manually Query Maksuturva API For Orders Created In Past Week", "Kysy Maksuturvalta maksujen statusta viikon ajalta."
"Manually Query Maksuturva API for orders missing payments in day", "Kysy Maksuturvalta maksujen statusta tilauksille, joista puuttuu maksu päivän sisällä"
"Manually Query Maksuturva API for orders missing payments in hour", "Kysy Maksuturvalta maksujen statusta tilauksille, joista puuttuu maksu tunnin sisällä"
"Unknown error on maksuturva payment module.", "Tapahtui tuntematon virhe."
"You have cancelled your payment in Maksuturva.", "Olet peruuttanut maksun."
"Unable to cancel order that has already been paid.", "Tilausta ei voitu peruuttaa koska se on jo maksettu."
"Waiting for delayed payment confirmation from Maksuturva", "Odottaa maksuvahvistusta Maksuturvalta"
"Maksuturva returned an error on your payment.", "Maksu epäonnistui."
"Invalid hash returned", "Virheellinen tarkiste vastauksessa"
"Gateway returned an empty field", "Yhdyskäytävä palautti tyhjän kentän"
"Generate invoice automatically", "Muodosta lasku automaattisesti"
"Value returned from Maksuturva does not match:", "Maksuturvan palauttama arvo ei täsmää:"
"Shipping and payment costs returned from Maksuturva do not match.", "Maksuturvan palauttamat toimitus- ja maksukulut eivät täsmää verkkokauppatilauksen kanssa."
"Error on Maksuturva return", "Tapahtui virhe palatessa verkkokauppaan"
"Choose payment method...", "Valitse maksutapa..."
"Shipping", "Toimitus"
"Payment due date", "Maksun eräpäivä"
"Payment fee", "Lisäkulut"
"Payment capture authorized by Maksuturva", "Maksun veloituslupa myönnetty"
"Payment confirmed by Maksuturva. Invoice saved.", "Maksu vahvistettu. Lasku on tallennettu."
"Payment confirmed by Maksuturva", "Maksu vahvistettu"
"Payment confirmed by Maksuturva. Invoices already exist", "Maksu vahvistettu. Laskut ovat jo olemassa"
"Payment canceled in Maksuturva", "Maksu peruutettu"
"No change, still awaiting payment", "Ei muutosta, odottaa yhä maksua"
"Paid Order Status", "Maksetun tilauksen tila"
"You will be redirected to the Maksuturva website in a few seconds.", "Sinut ohjataan Maksuturvan verkkosivulle hetken kuluttua."
"Capture action is not available.", "Toiminto ei ole käytettävissä."
"Preselect payment method in webshop", "Esivalitse maksutapa verkkokaupassa"
"Query Maksuturva API for orders missing payments", "Kysy Maksuturvalta maksujen statusta tilauksille, joista puuttuu maksu"
"Successfully queried Maksuturva API for missing payments", "Tilaukset synkronoitu onnistuneesti"
"Unknown exception occured.", "Tapahtui tuntematon virhe."
"Your order is not valid or is already paid.", "Tilauksesi ei ole voimassa tai on jo maksettu."
"Payment %1 by Maksuturva. NOTE: Change in the sellercosts + %2 EUR.", "Maksu: %1. HUOM: Muutos lisäkuluissa +%2 EUR."
"Payment 1% by Maksuturva. NOTE: Change in the sellercosts %2 EUR.", "Maksu: 1%. HUOM: Muutos lisäkuluissa %2 EUR."
"Payment %1 by Maksuturva", "Maksu %1"
"Secret Key", "Salainen avain"
"Seller ID", "Kauppiastunnus"
"Sandbox secret Key", "Sandbox-testaustilan salainen avain"
"Sandbox seller ID", "Sandbox-testaustilan kauppiastunnus"
"Sandbox Mode", "Sandbox-testaustila"
"Key Version", "Salaisen avaimen versio"
